cik,name,ticker,exchange
320193,Apple Inc.,AAPL,Nasdaq
789019,MICROSOFT CORP,MSFT,Nasdaq
1652044,Alphabet Inc.,GOOGL,Nasdaq
1018724,AMAZON COM INC,AMZN,Nasdaq
1045810,NVIDIA CORP,NVDA,Nasdaq
1326801,"Meta Platforms, Inc.",META,Nasdaq
1318605,"Tesla, Inc.",TSLA,Nasdaq
1730168,Broadcom Inc.,AVGO,Nasdaq
937966,ASML HOLDING NV,ASML,Nasdaq
77476,PEPSICO INC,PEP,Nasdaq
909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq
796343,ADOBE INC.,ADBE,Nasdaq
858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq
901832,ASTRAZENECA PLC,AZN,Nasdaq
1166691,COMCAST CORP,CMCSA,Nasdaq
1065280,NETFLIX INC,NFLX,Nasdaq
2488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq
1283699,"T-Mobile US, Inc.",TMUS,Nasdaq
97476,TEXAS INSTRUMENTS INC,TXN,Nasdaq
1067839,"INVESCO QQQ TRUST, SERIES 1",QQQ,Nasdaq
318154,AMGEN INC,AMGN,Nasdaq
50863,INTEL CORP,INTC,Nasdaq
896878,INTUIT INC.,INTU,Nasdaq
1121404,Sanofi,SNY,Nasdaq
773840,HONEYWELL INTERNATIONAL INC,HON,Nasdaq
804328,QUALCOMM INC/DE,QCOM,Nasdaq
1075531,Booking Holdings Inc.,BKNG,Nasdaq
6951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq
829224,STARBUCKS CORP,SBUX,Nasdaq
1737806,PDD Holdings Inc.,PDD,Nasdaq
8670,AUTOMATIC DATA PROCESSING INC,ADP,Nasdaq
1035267,INTUITIVE SURGICAL INC,ISRG,Nasdaq
1103982,"Mondelez International, Inc.",MDLZ,Nasdaq
882095,"GILEAD SCIENCES, INC.",GILD,Nasdaq
875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,Nasdaq
6281,ANALOG DEVICES INC,ADI,Nasdaq
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,Nasdaq
707549,LAM RESEARCH CORP,LRCX,Nasdaq
1559720,"Airbnb, Inc.",ABNB,Nasdaq
1156375,CME GROUP INC.,CME,Nasdaq
718877,"Activision Blizzard, Inc.",ATVI,Nasdaq
1101239,EQUINIX INC,EQIX,Nasdaq
723125,MICRON TECHNOLOGY INC,MU,Nasdaq
1633917,"PayPal Holdings, Inc.",PYPL,Nasdaq
1110646,"NetEase, Inc.",NTES,Nasdaq
319201,KLA CORP,KLAC,Nasdaq
883241,SYNOPSYS INC,SNPS,Nasdaq
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Nasdaq
1327567,Palo Alto Networks Inc,PANW,Nasdaq
1048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,Nasdaq
1099590,MERCADOLIBRE INC,MELI,Nasdaq
